date,url
2016-10-01,https://web.archive.org/web/20161001180929/https://www.cdc.gov/zika/geo/united-states.html
2016-10-15,https://web.archive.org/web/20161015174653/https://www.cdc.gov/zika/geo/united-states.html
2016-11-08,https://web.archive.org/web/20161108215556/https://www.cdc.gov/zika/geo/united-states.html
2016-11-25,https://web.archive.org/web/20161125233028/https://www.cdc.gov/zika/geo/united-states.html
2016-12-07,https://web.archive.org/web/20161207195121/https://www.cdc.gov/zika/geo/united-states.html
2016-12-22,https://web.archive.org/web/20161222085228/https://www.cdc.gov/zika/geo/united-states.html
2017-01-06,https://web.archive.org/web/20170106060844/https://www.cdc.gov/zika/geo/united-states.html
2017-01-20,https://web.archive.org/web/20170120124715/https://www.cdc.gov/zika/geo/united-states.html
2017-02-02,https://web.archive.org/web/20170202205210/https://www.cdc.gov/zika/geo/united-states.html
2017-02-13,https://web.archive.org/web/20170213102012/https://www.cdc.gov/zika/geo/united-states.html
2017-03-02,https://web.archive.org/web/20170302070327/https://www.cdc.gov/zika/geo/united-states.html
2017-03-19,https://web.archive.org/web/20170331113913/https://www.cdc.gov/zika/geo/united-states.html
2017-04-02,https://web.archive.org/web/20170331113913/https://www.cdc.gov/zika/geo/united-states.html
2017-04-16,https://web.archive.org/web/20170416222235/https://www.cdc.gov/zika/geo/united-states.html
2017-05-06,https://web.archive.org/web/20170506011734/https://www.cdc.gov/zika/geo/united-states.html
