report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
2016-12-10,Mexico-Aguascalientes,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-12-10,Mexico-Baja_California,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-12-10,Mexico-Baja_California_Sur,state,weekly_zika_confirmed,MX0001,NA,NA,5,cases
2016-12-10,Mexico-Campeche,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-12-10,Mexico-Chiapas,state,weekly_zika_confirmed,MX0001,NA,NA,1,cases
2016-12-10,Mexico-Chihuahua,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-12-10,Mexico-Coahuila_de_Zaragoza,state,weekly_zika_confirmed,MX0001,NA,NA,17,cases
2016-12-10,Mexico-Colima,state,weekly_zika_confirmed,MX0001,NA,NA,3,cases
2016-12-10,Mexico-Distrito_Federal,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-12-10,Mexico-Durango,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-12-10,Mexico-Guanajuato,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-12-10,Mexico-Guerrero,state,weekly_zika_confirmed,MX0001,NA,NA,2,cases
2016-12-10,Mexico-Hidalgo,state,weekly_zika_confirmed,MX0001,NA,NA,1,cases
2016-12-10,Mexico-Jalisco,state,weekly_zika_confirmed,MX0001,NA,NA,2,cases
2016-12-10,Mexico-Mexico,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-12-10,Mexico-Michoacan_de_Ocampo,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-12-10,Mexico-Morelos,state,weekly_zika_confirmed,MX0001,NA,NA,6,cases
2016-12-10,Mexico-Nayarit,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-12-10,Mexico-Nuevo_Leon,state,weekly_zika_confirmed,MX0001,NA,NA,303,cases
2016-12-10,Mexico-Oaxaca,state,weekly_zika_confirmed,MX0001,NA,NA,2,cases
2016-12-10,Mexico-Puebla,state,weekly_zika_confirmed,MX0001,NA,NA,2,cases
2016-12-10,Mexico-Queretaro_de_Arteaga,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-12-10,Mexico-Quintana_Roo,state,weekly_zika_confirmed,MX0001,NA,NA,9,cases
2016-12-10,Mexico-San_Luis_Potosi,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-12-10,Mexico-Sinaloa,state,weekly_zika_confirmed,MX0001,NA,NA,12,cases
2016-12-10,Mexico-Sonora,state,weekly_zika_confirmed,MX0001,NA,NA,1,cases
2016-12-10,Mexico-Tabasco,state,weekly_zika_confirmed,MX0001,NA,NA,6,cases
2016-12-10,Mexico-Tamaulipas,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-12-10,Mexico-Tlaxcala,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-12-10,Mexico-Veracruz_de_Ignacio_de_la_Llave,state,weekly_zika_confirmed,MX0001,NA,NA,16,cases
2016-12-10,Mexico-Yucatan,state,weekly_zika_confirmed,MX0001,NA,NA,26,cases
2016-12-10,Mexico-Zacatecas,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-12-10,Mexico-Aguascalientes,state,yearly_cumulative_female,MX0002,NA,NA,1,cases
2016-12-10,Mexico-Baja_California,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-12-10,Mexico-Baja_California_Sur,state,yearly_cumulative_female,MX0002,NA,NA,19,cases
2016-12-10,Mexico-Campeche,state,yearly_cumulative_female,MX0002,NA,NA,76,cases
2016-12-10,Mexico-Chiapas,state,yearly_cumulative_female,MX0002,NA,NA,661,cases
2016-12-10,Mexico-Chihuahua,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-12-10,Mexico-Coahuila_de_Zaragoza,state,yearly_cumulative_female,MX0002,NA,NA,36,cases
2016-12-10,Mexico-Colima,state,yearly_cumulative_female,MX0002,NA,NA,251,cases
2016-12-10,Mexico-Distrito_Federal,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-12-10,Mexico-Durango,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-12-10,Mexico-Guanajuato,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-12-10,Mexico-Guerrero,state,yearly_cumulative_female,MX0002,NA,NA,651,cases
2016-12-10,Mexico-Hidalgo,state,yearly_cumulative_female,MX0002,NA,NA,169,cases
2016-12-10,Mexico-Jalisco,state,yearly_cumulative_female,MX0002,NA,NA,60,cases
2016-12-10,Mexico-Mexico,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-12-10,Mexico-Michoacan_de_Ocampo,state,yearly_cumulative_female,MX0002,NA,NA,48,cases
2016-12-10,Mexico-Morelos,state,yearly_cumulative_female,MX0002,NA,NA,211,cases
2016-12-10,Mexico-Nayarit,state,yearly_cumulative_female,MX0002,NA,NA,23,cases
2016-12-10,Mexico-Nuevo_Leon,state,yearly_cumulative_female,MX0002,NA,NA,679,cases
2016-12-10,Mexico-Oaxaca,state,yearly_cumulative_female,MX0002,NA,NA,394,cases
2016-12-10,Mexico-Puebla,state,yearly_cumulative_female,MX0002,NA,NA,74,cases
2016-12-10,Mexico-Queretaro_de_Arteaga,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-12-10,Mexico-Quintana_Roo,state,yearly_cumulative_female,MX0002,NA,NA,341,cases
2016-12-10,Mexico-San_Luis_Potosi,state,yearly_cumulative_female,MX0002,NA,NA,20,cases
2016-12-10,Mexico-Sinaloa,state,yearly_cumulative_female,MX0002,NA,NA,44,cases
2016-12-10,Mexico-Sonora,state,yearly_cumulative_female,MX0002,NA,NA,14,cases
2016-12-10,Mexico-Tabasco,state,yearly_cumulative_female,MX0002,NA,NA,271,cases
2016-12-10,Mexico-Tamaulipas,state,yearly_cumulative_female,MX0002,NA,NA,56,cases
2016-12-10,Mexico-Tlaxcala,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-12-10,Mexico-Veracruz_de_Ignacio_de_la_Llave,state,yearly_cumulative_female,MX0002,NA,NA,1483,cases
2016-12-10,Mexico-Yucatan,state,yearly_cumulative_female,MX0002,NA,NA,689,cases
2016-12-10,Mexico-Zacatecas,state,yearly_cumulative_female,MX0002,NA,NA,1,cases
2016-12-10,Mexico-Aguascalientes,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-12-10,Mexico-Baja_California,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-12-10,Mexico-Baja_California_Sur,state,yearly_cumulative_male,MX0003,NA,NA,1,cases
2016-12-10,Mexico-Campeche,state,yearly_cumulative_male,MX0003,NA,NA,10,cases
2016-12-10,Mexico-Chiapas,state,yearly_cumulative_male,MX0003,NA,NA,98,cases
2016-12-10,Mexico-Chihuahua,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-12-10,Mexico-Coahuila_de_Zaragoza,state,yearly_cumulative_male,MX0003,NA,NA,20,cases
2016-12-10,Mexico-Colima,state,yearly_cumulative_male,MX0003,NA,NA,24,cases
2016-12-10,Mexico-Distrito_Federal,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-12-10,Mexico-Durango,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-12-10,Mexico-Guanajuato,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-12-10,Mexico-Guerrero,state,yearly_cumulative_male,MX0003,NA,NA,142,cases
2016-12-10,Mexico-Hidalgo,state,yearly_cumulative_male,MX0003,NA,NA,19,cases
2016-12-10,Mexico-Jalisco,state,yearly_cumulative_male,MX0003,NA,NA,16,cases
2016-12-10,Mexico-Mexico,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-12-10,Mexico-Michoacan_de_Ocampo,state,yearly_cumulative_male,MX0003,NA,NA,12,cases
2016-12-10,Mexico-Morelos,state,yearly_cumulative_male,MX0003,NA,NA,27,cases
2016-12-10,Mexico-Nayarit,state,yearly_cumulative_male,MX0003,NA,NA,15,cases
2016-12-10,Mexico-Nuevo_Leon,state,yearly_cumulative_male,MX0003,NA,NA,75,cases
2016-12-10,Mexico-Oaxaca,state,yearly_cumulative_male,MX0003,NA,NA,94,cases
2016-12-10,Mexico-Puebla,state,yearly_cumulative_male,MX0003,NA,NA,13,cases
2016-12-10,Mexico-Queretaro_de_Arteaga,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-12-10,Mexico-Quintana_Roo,state,yearly_cumulative_male,MX0003,NA,NA,15,cases
2016-12-10,Mexico-San_Luis_Potosi,state,yearly_cumulative_male,MX0003,NA,NA,6,cases
2016-12-10,Mexico-Sinaloa,state,yearly_cumulative_male,MX0003,NA,NA,5,cases
2016-12-10,Mexico-Sonora,state,yearly_cumulative_male,MX0003,NA,NA,7,cases
2016-12-10,Mexico-Tabasco,state,yearly_cumulative_male,MX0003,NA,NA,27,cases
2016-12-10,Mexico-Tamaulipas,state,yearly_cumulative_male,MX0003,NA,NA,13,cases
2016-12-10,Mexico-Tlaxcala,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-12-10,Mexico-Veracruz_de_Ignacio_de_la_Llave,state,yearly_cumulative_male,MX0003,NA,NA,303,cases
2016-12-10,Mexico-Yucatan,state,yearly_cumulative_male,MX0003,NA,NA,106,cases
2016-12-10,Mexico-Zacatecas,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
