"","report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","value","unit"
"1",2016-07-09,"Brazil-Acre","state","zika_reported","BR0011",NA,NA,345,"cases"
"2",2016-07-09,"Brazil-Amapa","state","zika_reported","BR0011",NA,NA,258,"cases"
"3",2016-07-09,"Brazil-Amazonas","state","zika_reported","BR0011",NA,NA,4055,"cases"
"4",2016-07-09,"Brazil-Para","state","zika_reported","BR0011",NA,NA,2718,"cases"
"5",2016-07-09,"Brazil-Rondonia","state","zika_reported","BR0011",NA,NA,971,"cases"
"6",2016-07-09,"Brazil-Roraima","state","zika_reported","BR0011",NA,NA,80,"cases"
"7",2016-07-09,"Brazil-Tocantins","state","zika_reported","BR0011",NA,NA,2517,"cases"
"8",2016-07-09,"Brazil-Alagoas","state","zika_reported","BR0011",NA,NA,4958,"cases"
"9",2016-07-09,"Brazil-Bahia","state","zika_reported","BR0011",NA,NA,48010,"cases"
"10",2016-07-09,"Brazil-Ceara","state","zika_reported","BR0011",NA,NA,3641,"cases"
"11",2016-07-09,"Brazil-Maranhao","state","zika_reported","BR0011",NA,NA,3168,"cases"
"12",2016-07-09,"Brazil-Paraiba","state","zika_reported","BR0011",NA,NA,3073,"cases"
"13",2016-07-09,"Brazil-Pernambuco","state","zika_reported","BR0011",NA,NA,410,"cases"
"14",2016-07-09,"Brazil-Piaui","state","zika_reported","BR0011",NA,NA,307,"cases"
"15",2016-07-09,"Brazil-Rio_Grande_do_Norte","state","zika_reported","BR0011",NA,NA,3074,"cases"
"16",2016-07-09,"Brazil-Sergipe","state","zika_reported","BR0011",NA,NA,350,"cases"
"17",2016-07-09,"Brazil-Espirito_Santo","state","zika_reported","BR0011",NA,NA,2192,"cases"
"18",2016-07-09,"Brazil-Minas_Gerais","state","zika_reported","BR0011",NA,NA,14105,"cases"
"19",2016-07-09,"Brazil-Rio_de_Janeiro","state","zika_reported","BR0011",NA,NA,46022,"cases"
"20",2016-07-09,"Brazil-Sao_Paulo","state","zika_reported","BR0011",NA,NA,5225,"cases"
"21",2016-07-09,"Brazil-Parana","state","zika_reported","BR0011",NA,NA,1431,"cases"
"22",2016-07-09,"Brazil-Rio_Grande_do_Sul","state","zika_reported","BR0011",NA,NA,327,"cases"
"23",2016-07-09,"Brazil-Santa_Catarina","state","zika_reported","BR0011",NA,NA,92,"cases"
"24",2016-07-09,"Brazil-Distrito_Federal","state","zika_reported","BR0011",NA,NA,342,"cases"
"25",2016-07-09,"Brazil-Goias","state","zika_reported","BR0011",NA,NA,5494,"cases"
"26",2016-07-09,"Brazil-Mato_Grosso","state","zika_reported","BR0011",NA,NA,19947,"cases"
"27",2016-07-09,"Brazil-Mato_Grosso_do_Sul","state","zika_reported","BR0011",NA,NA,891,"cases"
