report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
2016-03-05,El_Salvador- Ahuachapa,Department,cumulative_suspected_total,SV0010,N/A,N/A,124,cases
2016-03-05,El_Salvador- Cabanas,Department,cumulative_suspected_total,SV0010,N/A,N/A,260,cases
2016-03-05,El_Salvador-Chalatenango,Department,cumulative_suspected_total,SV0010,N/A,N/A,410,cases
2016-03-05,El_Salvador-Cuscatlan,Department,cumulative_suspected_total,SV0010,N/A,N/A,453,cases
2016-03-05,El_Salvador-La_Libertad,Department,cumulative_suspected_total,SV0010,N/A,N/A,927,cases
2016-03-05,El_Salvador-La_Paz,Department,cumulative_suspected_total,SV0010,N/A,N/A,116,cases
2016-03-05,El_Salvador-La_Union,Department,cumulative_suspected_total,SV0010,N/A,N/A,31,cases
2016-03-05,El_Salvador-Morazan,Department,cumulative_suspected_total,SV0010,N/A,N/A,99,cases
2016-03-05,El_Salvador-San_Miguel,Department,cumulative_suspected_total,SV0010,N/A,N/A,115,cases
2016-03-05,El_Salvador-San_Salvador,Department,cumulative_suspected_total,SV0010,N/A,N/A,2139,cases
2016-03-05,El_Salvador-San_Vicente,Department,cumulative_suspected_total,SV0010,N/A,N/A,263,cases
2016-03-05,El_Salvador-Santa_Ana,Department,cumulative_suspected_total,SV0010,N/A,N/A,505,cases
2016-03-05,El_Salvador-Sonsonate,Department,cumulative_suspected_total,SV0010,N/A,N/A,58,cases
2016-03-05,El_Salvador-Usulutan,Department,cumulative_suspected_total,SV0010,N/A,N/A,118,cases
2016-03-05,El_Salvador-Guatemala,Department,cumulative_suspected_total,SV0010,N/A,N/A,2,cases
2016-03-05,El_Salvador,country,cumulative_suspected_total,SV0010,N/A,N/A,5620,cases
2016-03-05,El Salvador,country,cumulative_suspected_age_under_1,SV0001,N/A,N/A,90,cases
2016-03-05,El Salvador,country,cumulative_suspected_age_1-4,SV0002,N/A,N/A,253,cases
2016-03-05,El Salvador,country,cumulative_suspected_age_5-9,SV0003,N/A,N/A,246,cases
2016-03-05,El Salvador,country,cumulative_suspected_age_10-19,SV0004,N/A,N/A,478,cases
2016-03-05,El Salvador,country,cumulative_suspected_age_20-29,SV0005,N/A,N/A,1407,cases
2016-03-05,El Salvador,country,cumulative_suspected_age_30-39,SV0006,N/A,N/A,1346,cases
2016-03-05,El Salvador,country,cumulative_suspected_age_40-49,SV0007,N/A,N/A,998,cases
2016-03-05,El Salvador,country,cumulative_suspected_age_50-59,SV0008,N/A,N/A,555,cases
2016-03-05,El Salvador,country,cumulative_suspected_age_60_plus,SV0009,N/A,N/A,247,cases
2016-03-05,El_Salvador-Sonsonate,department,cumulative_suspected_pregnant,SV0011,N/A,N/A,2,cases
2016-03-05,El_Salvador-San_Miguel,department,cumulative_suspected_pregnant,SV0011,N/A,N/A,7,cases
2016-03-05,El_Salvador-Cabanas,department,cumulative_suspected_pregnant,SV0011,N/A,N/A,19,cases
2016-03-05,El_Salvador-Cuscatlan,department,cumulative_suspected_pregnant,SV0011,N/A,N/A,14,cases
2016-03-05,El_Salvador-San_Salvador,department,cumulative_suspected_pregnant,SV0011,N/A,N/A,66,cases
2016-03-05,El_Salvador-San_Vicente,department,cumulative_suspected_pregnant,SV0011,N/A,N/A,16,cases
2016-03-05,El_Salvador-Santa_Ana,department,cumulative_suspected_pregnant,SV0011,N/A,N/A,10,cases
2016-03-05,El_Salvador-Chalatenango,department,cumulative_suspected_pregnant,SV0011,N/A,N/A,14,cases
2016-03-05,El_Salvador-La_Libertad,department,cumulative_suspected_pregnant,SV0011,N/A,N/A,17,cases
2016-03-05,El_Salvador-La_Paz,department,cumulative_suspected_pregnant,SV0011,N/A,N/A,1,cases
2016-03-05,El_Salvador-Morazan,department,cumulative_suspected_pregnant,SV0011,N/A,N/A,3,cases
2016-03-05,El_Salvador-Usulutan,department,cumulative_suspected_pregnant,SV0011,N/A,N/A,6,cases
2016-03-05,El_Salvador-Guatemala,department,cumulative_suspected_pregnant,SV0011,N/A,N/A,1,cases
2016-03-05,El_Salvador,country,cumulative_suspected_pregnant,SV0011,N/A,N/A,5620,cases
