,countyr_code,alpha3code,country,country_name,date,deaths,epiweek_onset,imported_cases,lab_confirmed_cases,nombre_pais,num_country_code,num_country_code2,num_gbs,num_gbs_with_zika,num_records,num_microcephaly_associated,other_neuro_complications,other_source_transmission,pregnant_women,report_epi_week,severe_cases,sovereign,status,sub_region,suspected_cases,suspect_cases_bin,total_cases,total_cases_bin,year
16,SLV,SLV,El Salvador,El Salvador,"December, 2015",0.0,0.0,0.0,0,El Salvador,222.0,222.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,51,0.0,El Salvador,Member State,Central America,0,0K,0%,0%,2015.0
17,SLV,SLV,El Salvador,El Salvador,"December, 2015",0.0,0.0,0.0,0,El Salvador,222.0,222.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,51,0.0,El Salvador,Member State,Central America,464,0K,46400%,0%,2015.0
18,SLV,SLV,El Salvador,El Salvador,"December, 2015",0.0,0.0,0.0,0,El Salvador,222.0,222.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,52,0.0,El Salvador,Member State,Central America,0,0K,0%,0%,2015.0
19,SLV,SLV,El Salvador,El Salvador,"December, 2015",0.0,0.0,0.0,0,El Salvador,222.0,222.0,15.0,0.0,1.0,0.0,0.0,0.0,63.0,52,0.0,El Salvador,Member State,Central America,316,0K,31600%,0%,2015.0
20,SLV,SLV,El Salvador,El Salvador,"January, 2016",0.0,0.0,0.0,0,El Salvador,222.0,222.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,El Salvador,Member State,Central America,0,0K,0%,0%,2016.0
21,SLV,SLV,El Salvador,El Salvador,"January, 2016",0.0,0.0,0.0,0,El Salvador,222.0,222.0,23.0,0.0,1.0,0.0,0.0,0.0,19.0,1,0.0,El Salvador,Member State,Central America,1090,0K,109000%,0%,2016.0
22,SLV,SLV,El Salvador,El Salvador,"January, 2016",0.0,0.0,0.0,0,El Salvador,222.0,222.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,El Salvador,Member State,Central America,0,0K,0%,0%,2016.0
23,SLV,SLV,El Salvador,El Salvador,"January, 2016",0.0,0.0,0.0,0,El Salvador,222.0,222.0,27.0,0.0,1.0,0.0,0.0,0.0,31.0,2,0.0,El Salvador,Member State,Central America,1018,0K,101800%,0%,2016.0
24,SLV,SLV,El Salvador,El Salvador,"January, 2016",0.0,0.0,0.0,0,El Salvador,222.0,222.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,El Salvador,Member State,Central America,0,0K,0%,0%,2016.0
25,SLV,SLV,El Salvador,El Salvador,"January, 2016",0.0,0.0,0.0,0,El Salvador,222.0,222.0,13.0,0.0,1.0,0.0,0.0,0.0,29.0,3,0.0,El Salvador,Member State,Central America,839,0K,83900%,0%,2016.0
26,SLV,SLV,El Salvador,El Salvador,"January, 2016",0.0,0.0,0.0,0,El Salvador,222.0,222.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,0.0,El Salvador,Member State,Central America,0,0K,0%,0%,2016.0
27,SLV,SLV,El Salvador,El Salvador,"January, 2016",0.0,0.0,0.0,0,El Salvador,222.0,222.0,10.0,0.0,1.0,0.0,0.0,0.0,17.0,4,23.0,El Salvador,Member State,Central America,789,0K,78900%,0%,2016.0
28,SLV,SLV,El Salvador,El Salvador,"February, 2016",0.0,0.0,0.0,0,El Salvador,222.0,222.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,0.0,El Salvador,Member State,Central America,0,0K,0%,0%,2016.0
29,SLV,SLV,El Salvador,El Salvador,"February, 2016",0.0,0.0,0.0,0,El Salvador,222.0,222.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,5,0.0,El Salvador,Member State,Central America,351,0K,35100%,0%,2016.0
30,SLV,SLV,El Salvador,El Salvador,"February, 2016",0.0,0.0,0.0,0,El Salvador,222.0,222.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6,0.0,El Salvador,Member State,Central America,661,0K,66100%,0%,2016.0
0,GUF,GUF,French Guiana,French Guiana,"October, 2015",0.0,0.0,0.0,0,Guayana Francesa,254.0,254.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2015.0
1,GUF,GUF,French Guiana,French Guiana,"October, 2015",0.0,0.0,0.0,0,Guayana Francesa,254.0,254.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2015.0
2,GUF,GUF,French Guiana,French Guiana,"October, 2015",0.0,0.0,0.0,0,Guayana Francesa,254.0,254.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2015.0
3,GUF,GUF,French Guiana,French Guiana,"October, 2015",0.0,0.0,0.0,0,Guayana Francesa,254.0,254.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2015.0
4,GUF,GUF,French Guiana,French Guiana,"November, 2015",0.0,0.0,0.0,0,Guayana Francesa,254.0,254.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,44,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2015.0
5,GUF,GUF,French Guiana,French Guiana,"November, 2015",0.0,0.0,0.0,0,Guayana Francesa,254.0,254.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2015.0
6,GUF,GUF,French Guiana,French Guiana,"November, 2015",0.0,0.0,0.0,0,Guayana Francesa,254.0,254.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,46,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2015.0
7,GUF,GUF,French Guiana,French Guiana,"November, 2015",0.0,0.0,0.0,0,Guayana Francesa,254.0,254.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2015.0
8,GUF,GUF,French Guiana,French Guiana,"December, 2015",0.0,0.0,0.0,0,Guayana Francesa,254.0,254.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2015.0
9,GUF,GUF,French Guiana,French Guiana,"December, 2015",0.0,0.0,0.0,0,Guayana Francesa,254.0,254.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,49,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2015.0
10,GUF,GUF,French Guiana,French Guiana,"December, 2015",0.0,0.0,0.0,0,Guayana Francesa,254.0,254.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,50,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2015.0
11,GUF,GUF,French Guiana,French Guiana,"December, 2015",0.0,0.0,0.0,0,Guayana Francesa,254.0,254.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,51,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2015.0
