report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
2016-07-25,Nicaragua,country,total_zika_confirmed,NI0001,NA,NA,76,cases
2016-07-25,Nicaragua,country,normal_birth_confirmed_zika,NI0006,NA,NA,36,cases
2016-07-25,Nicaragua,country,total_zika_confirmed_pregnant,NI0002,NA,NA,27,cases
2016-07-25,Nicaragua,country,total_zika_confirmed_cumulative,NI0003,NA,NA,661,cases
2016-07-25,Nicaragua,country,total_zika_confirmed_pregnant_cumulative,NI0004,NA,NA,221,cases
