"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","value","unit"
2016-03-14,"Nicaragua","country","total_zika_new_suspected","NI0005",NA,NA,17,"cases"
2016-03-14,"Nicaragua","country","total_zika_confirmed","NI0001",NA,NA,15,"cases"
2016-03-14,"Nicaragua-Masaya-Nindiri","municipality","total_zika_confirmed","NI0001",NA,NA,1,"cases"
2016-03-14,"Nicaragua-Rivas-Cardenas","municipality","total_zika_confirmed","NI0001",NA,NA,1,"cases"
2016-03-14,"Nicaragua-Matagalpa","city","total_zika_confirmed","NI0001",NA,NA,1,"cases"
2016-03-14,"Nicaragua-Other","municipality","total_zika_confirmed","NI0001",NA,NA,12,"cases"
2016-03-14,"Nicaragua","country","total_zika_confirmed_cumulative","NI0003",NA,NA,119,"cases"
2016-03-14,"Nicaragua","country","total_zika_confirmed_pregnant_cumulative","NI0004",NA,NA,11,"cases"
