"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","value","unit"
2016-03-16,"Nicaragua","country","total_zika_new_confirmed","NI0001",NA,NA,4,"cases"
2016-03-16,"Nicaragua","country","total_zika_new_confirmed_pregnant","NI0002",NA,NA,1,"cases"
2016-03-16,"Nicaragua","country","total_zika_new_confirmed_cumulative","NI0003",NA,NA,123,"cases"
2016-03-16,"Nicaragua","country","total_zika_new_confirmed_pregnant_cumulative","NI0004",NA,NA,12,"cases"
