"location","location_type","country","state_province","district_county_municipality","city","alt_name1","alt_name2"
"Artibonite-Desssalines_Marchand","municipality","Haiti","Artibonite","Desssalines_Marchand",NA,NA,NA
"Artibonite-Ennery","municipality","Haiti","Artibonite","Ennery",NA,NA,NA
"Artibonite-Gonaives","municipality","Haiti","Artibonite","Gonaives",NA,NA,NA
"Artibonite-Verrettes","municipality","Haiti","Artibonite","Verrettes",NA,NA,NA
"Artibonite","district","Haiti","Artibonite",NA,NA,NA,NA
"Centre-Hinche","municipality","Haiti","Centre","Hinche",NA,NA,NA
"Centre-Maissade","municipality","Haiti","Centre","Maissade",NA,NA,NA
"Centre-Mirebalais","municipality","Haiti","Centre","Mirebalais",NA,NA,NA
"Centre","district","Haiti","Centre",NA,NA,NA,NA
"Grande_Anse-Corail","municipality","Haiti","Grand_Anse","Corail",NA,NA,NA
"Grande_Anse-Dame_Marie","municipality","Haiti","Grand_Anse","Dame_Marie",NA,NA,NA
"Grande_Anse-Roseaux","municipality","Haiti","Grand_Anse","Roseaux",NA,NA,NA
"Grande_Anse","district","Haiti","Grand_Anse",NA,NA,NA,NA
"Nippes-Fond_ Des_Negres","municipality","Haiti","Nippes","Fond_Des_Negres",NA,NA,NA
"Nippes-Miragoane","municipality","Haiti","Nippes","Miragoane",NA,NA,NA
"Nippes","district","Haiti","Nippes",NA,NA,NA,NA
"Nord-Cap_Haitien","municipality","Haiti","Nord","Haitien",NA,NA,NA
"Nord-Limbe","municipality","Haiti","Nord","Limbe",NA,NA,NA
"Nord-Milot","municipality","Haiti","Nord","Milot",NA,NA,NA
"Nord-Pignon","municipality","Haiti","Nord","Pignon",NA,NA,NA
"Nord-Plaine_du_Nord","municipality","Haiti","Nord","Plaine_du_Nord",NA,NA,NA
"Nord-Plaisance","municipality","Haiti","Nord","Plaisance",NA,NA,NA
"Nord","district","Haiti","Nord",NA,NA,NA,NA
"Nord_Est-Ouanaminthe","municipality","Haiti","Nord_Est","Ouanaminthe",NA,NA,NA
"Nord_Est","district","Haiti","Nord_Est",NA,NA,NA,NA
"Nord_Ouest-La_Tortue","municipality","Haiti","Nord_Ouest","La_Tortue",NA,NA,NA
"Nord_Ouest-Saint_Louis_du_Nord","municipality","Haiti","Nord_Ouest","Saint_Louis_du_Nord",NA,NA,NA
"Nord_Ouest","district","Haiti","Nord_Ouest",NA,NA,NA,NA
"Ouest-Carrefour","municipality","Haiti","Ouest","Carrefour",NA,NA,NA
"Ouest-Croix_des_Bouquets","municipality","Haiti","Ouest","Croix_des_Bouquets",NA,NA,NA
"Ouest-Delmas","municipality","Haiti","Ouest","Delmas",NA,NA,NA
"Ouest-Petion_Ville","municipality","Haiti","Ouest","Petion_Ville",NA,NA,NA
"Ouest-Petit_Goave","municipality","Haiti","Ouest","Petit_Goave",NA,NA,NA
"Ouest-Port_au_Prince","municipality","Haiti","Ouest","Port_au_Prince",NA,NA,NA
"Ouest","district","Haiti","Ouest",NA,NA,NA,NA
"Sud-Aquin","municipality","Haiti","Sud","Aquin",NA,NA,NA
"Sud","district","Haiti","Sud",NA,NA,NA,NA
"Sud_Est-Anse_A_Pitres","municipality","Haiti","Sud_Est","Anse_A_Pitres",NA,NA,NA
"Sud_Est-Cotes_de_Fer","municipality","Haiti","Sud_Est","Cotes_de_Fer",NA,NA,NA
"Sud_Est-Marigot","municipality","Haiti","Sud_Est","Marigot",NA,NA,NA
"Sud_Est","municipality","Haiti","Sud_Est",NA,NA,NA,NA
