location,location_type,country,state_province,district_country_municipality,city,alt_name1,alt_name2
Argentina-Buenos_Aires,province,Argentina,Buenos Aires,NA,NA,Buenos Aires,BUENOS AIRES
Argentina-CABA,province,Argentina,CABA,NA,NA,CABA,CABA
Argentina-Cordoba,province,Argentina,Cordoba,NA,NA,Cordoba,CORDOBA
Argentina-Entre_Rios,province,Argentina,Entre Rios,NA,NA,Entre Rios,ENTRE RIOS
Argentina-Santa_Fe,province,Argentina,Santa Fe,NA,NA,Santa Fe,SANTA FE
Argentina-Chaco,province,Argentina,Chaco,NA,NA,Chaco,CHACO
Argentina-Corrientes,province,Argentina,Corrientes,NA,NA,Corrientes,CORRIENTES
Argentina-Formosa,province,Argentina,Formosa,NA,NA,Formosa,FORMOSA
Argentina-Misiones,province,Argentina,Misiones,NA,NA,Misiones,MISIONES
Argentina-Catamarca,province,Argentina,Catamarca,NA,NA,Catamarca,CATAMARCA
Argentina-Jujuy,province,Argentina,Jujuy,NA,NA,Jujuy,JUJUY
Argentina-Salta,province,Argentina,Salta,NA,NA,Salta,SALTA
Argentina-Sgo_Del_Estero,province,Argentina,Sgo. Del Estero,NA,NA,Sgo. Del Estero,SGO. DEL ESTERO
Argentina-Tucuman,province,Argentina,Tucuman,NA,NA,Tucuman,TUCUMAN
Argentina-La_Rioja,province,Argentina,La Rioja,NA,NA,La Rioja,LA RIOJA
Argentina-San_Luis,province,Argentina,San Luis,NA,NA,San Luis,SAN LUIS
Argentina-Mendoza,province,Argentina,Mendoza,NA,NA,Mendoza,MENDOZA
Argentina-San_Juan,province,Argentina,San Juan,NA,NA,San Juan,SAN JUAN
Argentina-Chubut,province,Argentina,Chubut,NA,NA,Chubut,CHUBUT
Argentina-La_Pampa,province,Argentina,La Pampa,NA,NA,La Pampa,LA PAMPA
Argentina-Rio_Negro,province,Argentina,Rio Negro,NA,NA,Rio Negro,RIO NEGRO
Argentina-Santa_Cruz,province,Argentina,Santa Cruz,NA,NA,Santa Cruz,SANTA CRUZ
Argentina-Neuquen,province,Argentina,Neuquen,NA,NA,Neuquen,NEUQUEN
Argentina-Tierra_del_Fuego,province,Argentina,Tierra del Fuego,NA,NA,Tierra del Fuego,TIERRA DEL FUEGO
