"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","value","unit"
2016-06-22,"Ecuador","country","total_zika_confirmed_cumulative","EC0002",NA,NA,587,"cases"
2016-06-22,"Ecuador-Azuay-Cuenca","county","total_zika_confirmed_autochthonous","EC0003",NA,NA,1,"cases"
2016-06-22,"Ecuador-El_Oro-Machala","county","total_zika_confirmed_autochthonous","EC0003",NA,NA,3,"cases"
2016-06-22,"Ecuador-El_Oro-Pasaje","county","total_zika_confirmed_autochthonous","EC0003",NA,NA,1,"cases"
2016-06-22,"Ecuador-El_Oro-Santa_Rosa","county","total_zika_confirmed_autochthonous","EC0003",NA,NA,1,"cases"
2016-06-22,"Ecuador-Esmeraldas-Esmeraldas","county","total_zika_confirmed_autochthonous","EC0003",NA,NA,54,"cases"
2016-06-22,"Ecuador-Esmeraldas-Quininde","county","total_zika_confirmed_autochthonous","EC0003",NA,NA,6,"cases"
2016-06-22,"Ecuador-Esmeraldas-San_Lorenzo","county","total_zika_confirmed_autochthonous","EC0003",NA,NA,3,"cases"
2016-06-22,"Ecuador-Galapagos-Santa_Cruz","county","total_zika_confirmed_autochthonous","EC0003",NA,NA,2,"cases"
2016-06-22,"Ecuador-Guayas-Daule","county","total_zika_confirmed_autochthonous","EC0003",NA,NA,1,"cases"
2016-06-22,"Ecuador-Guayas-General_Antonio_Elizalde ","county","total_zika_confirmed_autochthonous","EC0003",NA,NA,1,"cases"
2016-06-22,"Ecuador-Guayas-Guayaquil","county","total_zika_confirmed_autochthonous","EC0003",NA,NA,26,"cases"
2016-06-22,"Ecuador-Los_Rios-Buena_Fe","county","total_zika_confirmed_autochthonous","EC0003",NA,NA,2,"cases"
2016-06-22,"Ecuador-Los_Rios-Quevedo","county","total_zika_confirmed_autochthonous","EC0003",NA,NA,1,"cases"
2016-06-22,"Ecuador-Los_Rios-Ventanas","county","total_zika_confirmed_autochthonous","EC0003",NA,NA,7,"cases"
2016-06-22,"Ecuador-Manabi-Jaramijo","county","total_zika_confirmed_autochthonous","EC0003",NA,NA,8,"cases"
2016-06-22,"Ecuador-Manabi-Jipijapa","county","total_zika_confirmed_autochthonous","EC0003",NA,NA,2,"cases"
2016-06-22,"Ecuador-Manabi-Manta","county","total_zika_confirmed_autochthonous","EC0003",NA,NA,156,"cases"
2016-06-22,"Ecuador-Manabi-Montecristi","county","total_zika_confirmed_autochthonous","EC0003",NA,NA,26,"cases"
2016-06-22,"Ecuador-Manabi-Pedernales","county","total_zika_confirmed_autochthonous","EC0003",NA,NA,1,"cases"
2016-06-22,"Ecuador-Manabi-Portoviejo","county","total_zika_confirmed_autochthonous","EC0003",NA,NA,238,"cases"
2016-06-22,"Ecuador-Manabi-Rocafuerte","county","total_zika_confirmed_autochthonous","EC0003",NA,NA,1,"cases"
2016-06-22,"Ecuador-Manabi-San_Vicente","county","total_zika_confirmed_autochthonous","EC0003",NA,NA,1,"cases"
2016-06-22,"Ecuador-Manabi-Santa_Ana","county","total_zika_confirmed_autochthonous","EC0003",NA,NA,1,"cases"
2016-06-22,"Ecuador-Manabi-Sucre","county","total_zika_confirmed_autochthonous","EC0003",NA,NA,3,"cases"
2016-06-22,"Ecuador-Orellana_Joya_de_los_Sachas","county","total_zika_confirmed_autochthonous","EC0003",NA,NA,1,"cases"
2016-06-22,"Ecuador-Pichincha-Mejia","county","total_zika_confirmed_autochthonous","EC0003",NA,NA,1,"cases"
2016-06-22,"Ecuador-Pichincha-Quito","county","total_zika_confirmed_autochthonous","EC0003",NA,NA,10,"cases"
2016-06-22,"Ecuador-Santo_Domingo_de_los_Tsachilas-La_Concordia","county","total_zika_confirmed_autochthonous","EC0003",NA,NA,2,"cases"
2016-06-22,"Ecuador-Santo_Domingo_de_los_Tsachilas-Santo_Domingo","county","total_zika_confirmed_autochthonous","EC0003",NA,NA,2,"cases"
2016-06-22,"Ecuador-Sucumbios-Shushufindi","county","total_zika_confirmed_autochthonous","EC0003",NA,NA,2,"cases"
2016-06-22,"Ecuador-Chimborazo-Chunchi","county","total_zika_confirmed_imported","EC0004",NA,NA,1,"cases"
2016-06-22,"Ecuador-Guayas-Guayaquil","county","total_zika_confirmed_imported","EC0004",NA,NA,1,"cases"
2016-06-22,"Ecuador-Los_Rios-Vinces","county","total_zika_confirmed_imported","EC0004",NA,NA,1,"cases"
2016-06-22,"Ecuador-Manabi-24_de_Mayo","county","total_zika_confirmed_imported","EC0004",NA,NA,1,"cases"
2016-06-22,"Ecuador-Manabi-Manta","county","total_zika_confirmed_imported","EC0004",NA,NA,1,"cases"
2016-06-22,"Ecuador-Manabi-Portoviejo","county","total_zika_confirmed_imported","EC0004",NA,NA,2,"cases"
2016-06-22,"Ecuador-Pichincha-Quito","county","total_zika_confirmed_imported","EC0004",NA,NA,15,"cases"
2016-06-22,"Ecuador-Santo_Domingo_de_los_Tsachilas-Santo_Domingo","county","total_zika_confirmed_imported","EC0004",NA,NA,1,"cases"
2016-06-22,"Ecuador","county","total_zika_confirmed_pregnant","EC0005",NA,NA,53,"cases"
2016-06-22,"Ecuador-Esmeraldas","province","total_zika_confirmed_pregnant","EC0005",NA,NA,8,"cases"
2016-06-22,"Ecuador-Galapagos","province","total_zika_confirmed_pregnant","EC0005",NA,NA,1,"cases"
2016-06-22,"Ecuador-Guayas","province","total_zika_confirmed_pregnant","EC0005",NA,NA,2,"cases"
