report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit,
2017-08-16,Ecuador,country,total_zika_confirmed_cumulative,EC0002,NA,NA,2192,cases,
2017-08-16,Ecuador-Manabi,province,total_zika_confirmed_cumulative,EC0002,NA,NA,759,cases,
2017-08-16,Ecuador-Guayas,province,total_zika_confirmed_cumulative,EC0002,NA,NA,1082,cases,
2017-08-16,Ecuador-Esmeraldas,province,total_zika_confirmed_cumulative,EC0002,NA,NA,14,cases,
2017-08-16,Ecuador-Santo_Domingo_de_los_Tsachilas,province,total_zika_confirmed_cumulative,EC0002,NA,NA,133,cases,
2017-08-16,Ecuador-Los_Rios,province,total_zika_confirmed_cumulative,EC0002,NA,NA,92,cases,
2017-08-16,Ecuador-El_Oro,province,total_zika_confirmed_cumulative,EC0002,NA,NA,62,cases,
2017-08-16,Ecuador-Pichincha,province,total_zika_confirmed_cumulative,EC0002,NA,NA,9,cases,
2017-08-16,Ecuador-Santa_Elena,province,total_zika_confirmed_cumulative,EC0002,NA,NA,25,cases,
2017-08-16,Ecuador-Sucumbios,province,total_zika_confirmed_cumulative,EC0002,NA,NA,6,cases,
2017-08-16,Ecuador-Galapagos,province,total_zika_confirmed_cumulative,EC0002,NA,NA,3,cases,
2017-08-16,Ecuador-Imbabura,province,total_zika_confirmed_cumulative,EC0002,NA,NA,1,cases,
2017-08-16,Ecuador-Cañar,province,total_zika_confirmed_cumulative,EC0002,NA,NA,2,cases,
2017-08-16,Ecuador-Bolivar,province,total_zika_confirmed_cumulative,EC0002,NA,NA,2,cases,
2017-08-16,Ecuador-Chimborazo,province,total_zika_confirmed_cumulative,EC0002,NA,NA,1,cases,
2017-08-16,Ecuador-Zamora-Chinchipe,province,total_zika_confirmed_cumulative,EC0002,NA,NA,1,cases,
2017-08-16,Ecuador,country,total_zika_confirmed_pregnant,EC0005,NA,NA,912,cases,
2017-08-16,Ecuador-El_Oro,province,total_zika_confirmed_pregnant,EC0005,NA,NA,42,cases,
2017-08-16,Ecuador-Esmeraldas,province,total_zika_confirmed_pregnant,EC0005,NA,NA,29,cases,
2017-08-16,Ecuador-Guayas,province,total_zika_confirmed_pregnant,EC0005,NA,NA,329,cases,
2017-08-16,Ecuador-Los_Rios,province,total_zika_confirmed_pregnant,EC0005,NA,NA,79,cases,
2017-08-16,Ecuador-Manabi,province,total_zika_confirmed_pregnant,EC0005,NA,NA,300,cases,
2017-08-16,Ecuador-Santa_Elena,province,total_zika_confirmed_pregnant,EC0005,NA,NA,17,cases,
2017-08-16,Ecuador-Santo_Domingo_de_los_Tsachilas,province,total_zika_confirmed_pregnant,EC0005,NA,NA,105,cases,
2017-08-16,Ecuador-Sucumbios,province,total_zika_confirmed_pregnant,EC0005,NA,NA,7,cases,
2017-08-16,Ecuador-Cañar,province,total_zika_confirmed_pregnant,EC0005,NA,NA,1,cases,
2017-08-16,Ecuador-Galapagos,province,total_zika_confirmed_pregnant,EC0005,NA,NA,1,cases,
2017-08-16,Ecuador-Pichincha,province,total_zika_confirmed_pregnant,EC0005,NA,NA,1,cases,
2017-08-16,Ecuador-Bolivar,province,total_zika_confirmed_pregnant,EC0005,NA,NA,1,cases,
2017-08-16,Ecuador,country,total_zika_confirmed_ages_0-11mo_F,EC0006,NA,NA,11,cases,
2017-08-16,Ecuador,country,total_zika_confirmed_ages_0-11mo_M,EC0007,NA,NA,17,cases,
2017-08-16,Ecuador,country,total_zika_confirmed_ages_1-4yrs_F,EC0008,NA,NA,39,cases,
2017-08-16,Ecuador,country,total_zika_confirmed_ages_1-4yrs_M,EC0009,NA,NA,30,cases,
2017-08-16,Ecuador,country,total_zika_confirmed_ages_5-9yrs_F,EC0010,NA,NA,102,cases,
2017-08-16,Ecuador,country,total_zika_confirmed_ages_5-9yrs_M,EC0011,NA,NA,76,cases,
2017-08-16,Ecuador,country,total_zika_confirmed_ages_10-14yrs_F,EC0012,NA,NA,92,cases,
2017-08-16,Ecuador,country,total_zika_confirmed_ages_10-14yrs_M,EC0013,NA,NA,82,cases,
2017-08-16,Ecuador,country,total_zika_confirmed_ages_15-19yrs_F,EC0014,NA,NA,169,cases,
2017-08-16,Ecuador,country,total_zika_confirmed_ages_15-19yrs_M,EC0015,NA,NA,60,cases,
2017-08-16,Ecuador,country,total_zika_confirmed_ages_20-49yrs_F,EC0016,NA,NA,1079,cases,
2017-08-16,Ecuador,country,total_zika_confirmed_ages_20-49yrs_M,EC0017,NA,NA,235,cases,
2017-08-16,Ecuador,country,total_zika_confirmed_ages_50-64yrs_F,EC0018,NA,NA,111,cases,
2017-08-16,Ecuador,country,total_zika_confirmed_ages_50-64yrs_M,EC0019,NA,NA,46,cases,
2017-08-16,Ecuador,country,total_zika_confirmed_ages_over65_F,EC0020,NA,NA,36,cases,
2017-08-16,Ecuador,country,total_zika_confirmed_ages_over65_M,EC0021,NA,NA,7,cases,
