report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit,
2017-07-12,Ecuador,country,total_zika_confirmed_cumulative,EC0002,NA,NA,2050,cases,
2017-07-12,Ecuador-Manabi,province,total_zika_confirmed_cumulative,EC0002,NA,NA,696,cases,
2017-07-12,Ecuador-Guayas,province,total_zika_confirmed_cumulative,EC0002,NA,NA,1037,cases,
2017-07-12,Ecuador-Esmeraldas,province,total_zika_confirmed_cumulative,EC0002,NA,NA,13,cases,
2017-07-12,Ecuador-Santo_Domingo_de_los_Tsachilas,province,total_zika_confirmed_cumulative,EC0002,NA,NA,108,cases,
2017-07-12,Ecuador-Los_Rios,province,total_zika_confirmed_cumulative,EC0002,NA,NA,92,cases,
2017-07-12,Ecuador-El_Oro,province,total_zika_confirmed_cumulative,EC0002,NA,NA,59,cases,
2017-07-12,Ecuador-Pichincha,province,total_zika_confirmed_cumulative,EC0002,NA,NA,8,cases,
2017-07-12,Ecuador-Santa_Elena,province,total_zika_confirmed_cumulative,EC0002,NA,NA,22,cases,
2017-07-12,Ecuador-Sucumbios,province,total_zika_confirmed_cumulative,EC0002,NA,NA,6,cases,
2017-07-12,Ecuador-Galapagos,province,total_zika_confirmed_cumulative,EC0002,NA,NA,3,cases,
2017-07-12,Ecuador-Imbabura,province,total_zika_confirmed_cumulative,EC0002,NA,NA,1,cases,
2017-07-12,Ecuador-Cañar,province,total_zika_confirmed_cumulative,EC0002,NA,NA,2,cases,
2017-07-12,Ecuador-Bolivar,province,total_zika_confirmed_cumulative,EC0002,NA,NA,1,cases,
2017-07-12,Ecuador-Chimborazo,province,total_zika_confirmed_cumulative,EC0002,NA,NA,1,cases,
2017-07-12,Ecuador-Zamora-Chinchipe,province,total_zika_confirmed_cumulative,EC0002,NA,NA,1,cases,
2017-07-12,Ecuador,country,total_zika_confirmed_pregnant,EC0005,NA,NA,849,cases,
2017-07-12,Ecuador-El_Oro,province,total_zika_confirmed_pregnant,EC0005,NA,NA,41,cases,
2017-07-12,Ecuador-Esmeraldas,province,total_zika_confirmed_pregnant,EC0005,NA,NA,29,cases,
2017-07-12,Ecuador-Guayas,province,total_zika_confirmed_pregnant,EC0005,NA,NA,302,cases,
2017-07-12,Ecuador-Los_Rios,province,total_zika_confirmed_pregnant,EC0005,NA,NA,79,cases,
2017-07-12,Ecuador-Manabi,province,total_zika_confirmed_pregnant,EC0005,NA,NA,288,cases,
2017-07-12,Ecuador-Santa_Elena,province,total_zika_confirmed_pregnant,EC0005,NA,NA,15,cases,
2017-07-12,Ecuador-Santo_Domingo_de_los_Tsachilas,province,total_zika_confirmed_pregnant,EC0005,NA,NA,84,cases,
2017-07-12,Ecuador-Sucumbios,province,total_zika_confirmed_pregnant,EC0005,NA,NA,7,cases,
2017-07-12,Ecuador-Cañar,province,total_zika_confirmed_pregnant,EC0005,NA,NA,1,cases,
2017-07-12,Ecuador-Galapagos,province,total_zika_confirmed_pregnant,EC0005,NA,NA,1,cases,
2017-07-12,Ecuador-Pichincha,province,total_zika_confirmed_pregnant,EC0005,NA,NA,1,cases,
2017-07-12,Ecuador-Bolivar,province,total_zika_confirmed_pregnant,EC0005,NA,NA,1,cases,
2017-07-12,Ecuador,country,total_zika_confirmed_ages_0-11mo_F,EC0006,NA,NA,10,cases,
2017-07-12,Ecuador,country,total_zika_confirmed_ages_0-11mo_M,EC0007,NA,NA,18,cases,
2017-07-12,Ecuador,country,total_zika_confirmed_ages_1-4yrs_F,EC0008,NA,NA,35,cases,
2017-07-12,Ecuador,country,total_zika_confirmed_ages_1-4yrs_M,EC0009,NA,NA,29,cases,
2017-07-12,Ecuador,country,total_zika_confirmed_ages_5-9yrs_F,EC0010,NA,NA,99,cases,
2017-07-12,Ecuador,country,total_zika_confirmed_ages_5-9yrs_M,EC0011,NA,NA,71,cases,
2017-07-12,Ecuador,country,total_zika_confirmed_ages_10-14yrs_F,EC0012,NA,NA,90,cases,
2017-07-12,Ecuador,country,total_zika_confirmed_ages_10-14yrs_M,EC0013,NA,NA,78,cases,
2017-07-12,Ecuador,country,total_zika_confirmed_ages_15-19yrs_F,EC0014,NA,NA,150,cases,
2017-07-12,Ecuador,country,total_zika_confirmed_ages_15-19yrs_M,EC0015,NA,NA,56,cases,
2017-07-12,Ecuador,country,total_zika_confirmed_ages_20-49yrs_F,EC0016,NA,NA,1002,cases,
2017-07-12,Ecuador,country,total_zika_confirmed_ages_20-49yrs_M,EC0017,NA,NA,218,cases,
2017-07-12,Ecuador,country,total_zika_confirmed_ages_50-64yrs_F,EC0018,NA,NA,105,cases,
2017-07-12,Ecuador,country,total_zika_confirmed_ages_50-64yrs_M,EC0019,NA,NA,44,cases,
2017-07-12,Ecuador,country,total_zika_confirmed_ages_over65_F,EC0020,NA,NA,35,cases,
2017-07-12,Ecuador,country,total_zika_confirmed_ages_over65_M,EC0021,NA,NA,6,cases,
