report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
2017-07-09,Guatemala-Central,municipality,total_zika_suspected,GT0001,NA,NA,137.0,cases
2017-07-09,Guatemala-Chiquimula,municipality,total_zika_suspected,GT0001,NA,NA,23.0,cases
2017-07-09,Guatemala-Santa_Rosa,municipality,total_zika_suspected,GT0001,NA,NA,21.0,cases
2017-07-09,Guatemala-Escuintla,municipality,total_zika_suspected,GT0001,NA,NA,30.0,cases
2017-07-09,Guatemala-Jutiapa,municipality,total_zika_suspected,GT0001,NA,NA,11.0,cases
2017-07-09,Guatemala-Quetzaltenango,municipality,total_zika_suspected,GT0001,NA,NA,17.0,cases
2017-07-09,Guatemala-Quiche,municipality,total_zika_suspected,GT0001,NA,NA,11.0,cases
2017-07-09,Guatemala-Peten_Norte,municipality,total_zika_suspected,GT0001,NA,NA,3.0,cases
2017-07-09,Guatemala-Izabal,municipality,total_zika_suspected,GT0001,NA,NA,4.0,cases
2017-07-09,Guatemala-Sur,municipality,total_zika_suspected,GT0001,NA,NA,10.0,cases
2017-07-09,Guatemala-Jalapa,municipality,total_zika_suspected,GT0001,NA,NA,3.0,cases
2017-07-09,Guatemala-Peten_Sur_Oriental,municipality,total_zika_suspected,GT0001,NA,NA,2.0,cases
2017-07-09,Guatemala-Peten_Sur_Occidental,municipality,total_zika_suspected,GT0001,NA,NA,2.0,cases
2017-07-09,Guatemala-Baja_Verapaz,municipality,total_zika_suspected,GT0001,NA,NA,2.0,cases
2017-07-09,Guatemala-Suchitepequez,municipality,total_zika_suspected,GT0001,NA,NA,2.0,cases
2017-07-09,Guatemala-Zacapa,municipality,total_zika_suspected,GT0001,NA,NA,3.0,cases
2017-07-09,Guatemala-Retalhuleu,municipality,total_zika_suspected,GT0001,NA,NA,2.0,cases
2017-07-09,Guatemala-Nor_Occidente,municipality,total_zika_suspected,GT0001,NA,NA,4.0,cases
2017-07-09,Guatemala-Alta_Verapaz,municipality,total_zika_suspected,GT0001,NA,NA,2.0,cases
2017-07-09,Guatemala-Huehuetenango,municipality,total_zika_suspected,GT0001,NA,NA,1.0,cases
2017-07-09,Guatemala-Nor_Oriente,municipality,total_zika_suspected,GT0001,NA,NA,,cases
2017-07-09,Guatemala-El_Progreso,municipality,total_zika_suspected,GT0001,NA,NA,,cases
2017-07-09,Guatemala-Sacatepequez,municipality,total_zika_suspected,GT0001,NA,NA,,cases
2017-07-09,Guatemala-Solola,municipality,total_zika_suspected,GT0001,NA,NA,,cases
2017-07-09,Guatemala-San_Marcos,municipality,total_zika_suspected,GT0001,NA,NA,,cases
2017-07-09,Guatemala-Ixcan,municipality,total_zika_suspected,GT0001,NA,NA,,cases
2017-07-09,Guatemala,country,total_zika_suspected,GT0001,NA,NA,290.0,cases
